Source Name	Sample Name	Characteristics[Replic]	Term Source REF	Term Accession Number	AuxChar[Plot]	Term Source REF	Term Accession Number	Raw Data File	Derived Data File	Trait Definition File
source1	sample1	1			1101				a_study1_processed_data.txt	a_study1_tdf.xlsx
source1	sample2	2			1504				a_study1_processed_data.txt	a_study1_tdf.xlsx
source1	sample3	3			1780				a_study1_processed_data.txt	a_study1_tdf.xlsx
source2	sample4	1			1118				a_study1_processed_data.txt	a_study1_tdf.xlsx
source2	sample5	2			1352				a_study1_processed_data.txt	a_study1_tdf.xlsx
source2	sample6	3			1531				a_study1_processed_data.txt	a_study1_tdf.xlsx
source3	sample7	1			1080				a_study1_processed_data.txt	a_study1_tdf.xlsx
source3	sample8	2			1297				a_study1_processed_data.txt	a_study1_tdf.xlsx
source3	sample9	3			1550				a_study1_processed_data.txt	a_study1_tdf.xlsx
source4	sample10	1			1081				a_study1_processed_data.txt	a_study1_tdf.xlsx
source4	sample11	2			1344				a_study1_processed_data.txt	a_study1_tdf.xlsx
source4	sample12	3			1600				a_study1_processed_data.txt	a_study1_tdf.xlsx
source5	sample13	1			1194				a_study1_processed_data.txt	a_study1_tdf.xlsx
source5	sample14	2			1359				a_study1_processed_data.txt	a_study1_tdf.xlsx
source5	sample15	3			1533				a_study1_processed_data.txt	a_study1_tdf.xlsx
source6	sample16	1			1206				a_study1_processed_data.txt	a_study1_tdf.xlsx
source6	sample17	2			1395				a_study1_processed_data.txt	a_study1_tdf.xlsx
source6	sample18	3			1551				a_study1_processed_data.txt	a_study1_tdf.xlsx
source7	sample19	1			1200				a_study1_processed_data.txt	a_study1_tdf.xlsx
source7	sample20	2			1373				a_study1_processed_data.txt	a_study1_tdf.xlsx
source7	sample21	3			1546				a_study1_processed_data.txt	a_study1_tdf.xlsx
source8	sample22	1			1150				a_study1_processed_data.txt	a_study1_tdf.xlsx
source8	sample23	2			1392				a_study1_processed_data.txt	a_study1_tdf.xlsx
source8	sample24	3			1532				a_study1_processed_data.txt	a_study1_tdf.xlsx
source9	sample25	1			1130				a_study1_processed_data.txt	a_study1_tdf.xlsx
source9	sample26	2			1361				a_study1_processed_data.txt	a_study1_tdf.xlsx
source9	sample27	3			1557				a_study1_processed_data.txt	a_study1_tdf.xlsx
