Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infra-specific name]	Term Source REF	Term Accession Number	Characteristics[Line]	Term Source REF	Term Accession Number	Protocol REF	Characteristics[Rwness]	Term Source REF	Term Accession Number	Characteristics[Shape]	Term Source REF	Term Accession Number
source1	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MARESI	EURISCO		MARESI			sample collection	2			r		
source2	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 104			sample collection	2			r		
source3	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 105			sample collection	2			w		
source4	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 107			sample collection	6			r		
source5	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 110			sample collection	2			w		
source6	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 112			sample collection	2			r		
source7	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 113			sample collection	6			r		
source8	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 115			sample collection	2			w		
source9	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 118			sample collection	2			r		
source10	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 119			sample collection	6			r		
source11	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 123			sample collection	2			w		
source12	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 125			sample collection	6			r		
source13	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 127			sample collection	6			w		
source14	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 129			sample collection	6			r		
source15	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 132			sample collection	6			r		
source16	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 144			sample collection	2			w		
source17	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 147			sample collection	2			r		
source18	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 19			sample collection	2			r		
source19	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 2			sample collection	6			r		
source20	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 21			sample collection	6			w		
source21	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 22			sample collection	2			r		
source22	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 27			sample collection	2			w		
source23	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 30			sample collection	2			r		
source24	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 32			sample collection	6			r		
source25	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 33			sample collection	6			w		
source26	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 39			sample collection	2			r		
source27	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 40			sample collection	6			w		
source28	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 49			sample collection	2			r		
