nr.pol	powt	population	genotyp	l.k³	l.ziarn	waga z.	d³.k³ 20	d³.k³	lzzk	wzzk	ctn	plon (g)	wys	wyleg	data k³	data kw	rwness	shape
1101	I	MARESI	MARESI	20	434	19,09	161	8,05	21,7	0,95	43,99	320	77	0	13	19	2	r
1504	II	MARESI	MARESI	20	404	15,86	158	7,9	20,2	0,79	39,26	290	71	0	12	17	2	r
1780	III	MARESI	MARESI	20	421	17,01	160	8	21,05	0,85	40,4	305	82	0	13	19	2	r
1118	I	MP	MP104	20	513	25,51	169	8,45	25,65	1,28	49,73	260	72	0	14	19	2	r
1352	II	MP	MP104	20	532	25,87	199	9,95	26,6	1,29	48,63	350	65	0	13	18	2	r
1531	III	MP	MP104	20	522	26,71	176	8,8	26,1	1,34	51,17	305	80	0	13	19	2	r
1080	I	MP	MP105	20	525	24,8	169	8,45	26,25	1,24	47,24	210	75	0	16	19	2	w
1297	II	MP	MP105	20	499	27,83	173	8,65	24,95	1,39	55,77	260	85	0	16	19	2	w
1550	III	MP	MP105	20	492	24,82	160	8	24,6	1,24	50,45	235	82	0	16	19	2	w
1081	I	MP	MP107	20	1081	33,78	111,5	5,58	54,05	1,69	31,25	160	64	0	18	22	6	r
1344	II	MP	MP107	20	1267	39,68	104	5,2	63,35	1,98	31,32	200	62	0	16	22	6	r
1600	III	MP	MP107	19	977	28,7	95	5	51,42	1,51	29,38	180	63	0	14	21	6	r
1194	I	MP	MP110	20	496	26,31	123	6,15	24,8	1,32	53,04	220	85	0	9	16	2	w
1359	II	MP	MP110	20	409	19,35	153	7,65	20,45	0,97	47,31	200	85	1	8	16	2	w
1533	III	MP	MP110	20	454	22,29	154	7,7	22,7	1,11	49,1	210	92	1	8	16	2	w
1206	I	MP	MP112	19	462	25,43	134	7,05	24,32	1,34	55,04	290	67	0	18	21	2	r
1395	II	MP	MP112	20	500	27,4	139,5	6,98	25	1,37	54,8	310	61	0	15	21	2	r
1551	III	MP	MP112	20	504	24,78	139	6,95	25,2	1,24	49,17	300	71	0	16	21	2	r
1200	I	MP	MP113	20	1074	34,9	136	6,8	53,7	1,75	32,5	290	63	0	15	19	6	r
1373	II	MP	MP113	20	1087	25,98	114,5	5,73	54,35	1,3	23,9	200	66	0	12	18	6	r
